'14011','"2024-12-01T11:24:25.478Z"','"5"','5','24571','5175','4537.53','1134','992.59','900','567.19'
'null(lastValue)','"2024-12-01T11:25:30.029Z"','"CoinFlip"','7','29332','6870','1512','756.26','756.26','491.57','408.8'
'14817','"2024-12-01T11:26:17.929Z"','"2"','6','28381','5105','2646','661.72','474.38','397.03','350'
'14817','"2024-12-01T11:28:30.619Z"','"10"','10','37132','5600','4158','2200','745.46','449.57','368.91'
'14817','"2024-12-01T11:29:15.804Z"','"1"','1','6105','4144','756','200','89.43','85.86','79.12'
'15911','"2024-12-01T11:30:46.740Z"','"Pachinko"','20','101024','7999','7938','2977.76','2288.72','2100','1588.14'
'16779(lastValue)','"2024-12-01T11:32:53.275Z"','"CrazyBonus"','25','89552','8731','4914','2749.46','2100','1416.83','1389.62'
'null(lastValue)','"2024-12-01T11:33:37.559Z"','"2"','2','16056','6237','1200','567.19','567','483.76','404.99'
'null(lastValue)','"2024-12-01T11:34:18.730Z"','"10"','10','45690','7143','3520','2200','1100','825','708.18'
'17535','"2024-12-01T11:35:00.025Z"','"1"','1','6083','4728','200','100','84.28','79.41','78.78'
'17258','"2024-12-01T11:35:44.627Z"','"10"','10','44178','6906','3139.86','2200','1247.82','857.27','742.47'
'17403','"2024-12-01T11:36:24.344Z"','"2"','2','14650','6278','1200','675','430.55','283.6','253.12'
'17403','"2024-12-01T11:37:03.106Z"','"2"','2','15689','6141','1200','850.79','750','430.55','300'
'17403','"2024-12-01T11:39:53.035Z"','"2"','2','18066','5521','4253.94','1200','672.43','283.6','246.73'
'17403(lastValue)','"2024-12-01T11:40:34.471Z"','"5"','5','33849','6214','5671.92','1800','1200','1050','900'
'null(lastValue)','"2024-12-01T11:41:13.365Z"','"5"','5','27060','6367','1200','1200','1200','1134.38','425.39'
'15494','"2024-12-01T11:41:54.569Z"','"5"','5','33085','6111','5671.92','1500','1200','1200','1134.38'
'15494','"2024-12-01T11:41:54.004Z"','"5"','5','33085','6111','5671.92','1500','1200','1200','1134.38'
'15834','"2024-12-01T11:42:36.634Z"','"1"','1','7071','3792','948.76','378','200','172.79','150'
'16612','"2024-12-01T11:45:08.863Z"','"CrazyBonus"','100','217012','7050','9639','4773.86','4479.25','3535','2864.32'
'17231','"2024-12-01T11:45:53.097Z"','"1"','1','5664','3955','378','200','170','161.25','135.54'
'null(lastValue)','"2024-12-01T11:46:34.936Z"','"10"','10','56511','6494','5500','3575','3300','2173.75','969.09'
'null(lastValue)','"2024-12-01T11:47:16.789Z"','"2"','2','15215','5717','1800','900','378.7','300','283.6'
'null(lastValue)','"2024-12-01T11:48:01.258Z"','"1"','1','4611','3807','200','94.53','78.78','60.2','52.98'
'null(lastValue)','"2024-12-01T11:50:10.393Z"','"Pachinko"','10','45845','7809','1100','1100','825','825','790.29'
'16984','"2024-12-01T11:50:53.632Z"','"2"','2','14833','5816','1500','900','349.5','300','225'
'16984','"2024-12-01T11:51:37.176Z"','"2"','2','16243','5981','2400','900','378.7','349.5','300'
'16984(lastValue)','"2024-12-01T11:52:16.378Z"','"5"','5','23544','6794','1500','1050','378.7','300','283.6'
'16460','"2024-12-01T11:53:26.897Z"','"CoinFlip"','6','34933','8037','7000','700','700','525','525'
'17042','"2024-12-01T11:54:14.059Z"','"5"','5','23917','6911','1500','1260','450','311.96','189.08'
