NumberofPlayers,DateTime,WheelResult,MultiplierResult,Totalwinnings,Totalwinners,Firstwinner,Secondwinner,Thirdwinner,Fourthwinner,Fifthwinner
14817.0,2024-12-01T11:26:17.929Z,"""2""",6.0,28381.0,5105.0,2646.0,661.72,474.38,397.03,350
14817.0,2024-12-01T11:28:30.619Z,"""10""",10.0,37132.0,5600.0,4158.0,2200.0,745.46,449.57,368.91
14817.0,2024-12-01T11:29:15.804Z,"""1""",1.0,6105.0,4144.0,756.0,200.0,89.43,85.86,79.12
15911.0,2024-12-01T11:30:46.740Z,"""Pachinko""",20.0,101024.0,7999.0,7938.0,2977.76,2288.72,2100,1588.14
16723.0,2024-12-01T11:32:53.275Z,"""CrazyBonus""",18.0,89552.0,8731.0,4914.0,2749.46,2100,1416.83,1389.62
17129.0,2024-12-01T11:33:37.559Z,"""2""",2.0,16056.0,6237.0,1200.0,567.19,567,483.76,404.99
17332.0,2024-12-01T11:34:18.730Z,"""10""",10.0,45690.0,7143.0,3520.0,2200.0,1100,825,708.18
17535.0,2024-12-01T11:35:00.025Z,"""1""",1.0,6083.0,4728.0,200.0,100.0,84.28,79.41,78.78
17258.0,2024-12-01T11:35:44.627Z,"""10""",10.0,44178.0,6906.0,3139.86,2200.0,1247.82,857.27,742.47
17403.0,2024-12-01T11:36:24.344Z,"""2""",2.0,14650.0,6278.0,1200.0,675.0,430.55,283.6,253.12
17403.0,2024-12-01T11:37:03.106Z,"""2""",2.0,15689.0,6141.0,1200.0,850.79,750,430.55,300
17403.0,2024-12-01T11:39:53.035Z,"""2""",2.0,18066.0,5521.0,4253.94,1200.0,672.43,283.6,246.73
16448.0,2024-12-01T11:40:34.471Z,"""5""",5.0,33849.0,6214.0,5671.92,1800.0,1200,1050,900
15971.0,2024-12-01T11:41:13.365Z,"""5""",5.0,27060.0,6367.0,1200.0,1200.0,1200,1134.38,425.39
15494.0,2024-12-01T11:41:54.569Z,"""5""",5.0,33085.0,6111.0,5671.92,1500.0,1200,1200,1134.38
15494.0,2024-12-01T11:41:54.004Z,"""5""",5.0,33085.0,6111.0,5671.92,1500.0,1200,1200,1134.38
15834.0,2024-12-01T11:42:36.634Z,"""1""",1.0,7071.0,3792.0,948.76,378.0,200,172.79,150
16612.0,2024-12-01T11:45:08.863Z,"""CrazyBonus""",55.0,217012.0,7050.0,9639.0,4773.86,4479.25,3535,2864.32
17231.0,2024-12-01T11:45:53.097Z,"""1""",1.0,5664.0,3955.0,378.0,200.0,170,161.25,135.54
17108.0,2024-12-01T11:46:34.936Z,"""10""",10.0,56511.0,6494.0,5500.0,3575.0,3300,2173.75,969.09
17046.0,2024-12-01T11:47:16.789Z,"""2""",2.0,15215.0,5717.0,1800.0,900.0,378.7,300,283.6
17015.0,2024-12-01T11:48:01.258Z,"""1""",1.0,4611.0,3807.0,200.0,94.53,78.78,60.2,52.98
17000.0,2024-12-01T11:50:10.393Z,"""Pachinko""",10.0,45845.0,7809.0,1100.0,1100.0,825,825,790.29
16984.0,2024-12-01T11:50:53.632Z,"""2""",2.0,14833.0,5816.0,1500.0,900.0,349.5,300,225
16984.0,2024-12-01T11:51:37.176Z,"""2""",2.0,16243.0,5981.0,2400.0,900.0,378.7,349.5,300
16722.0,2024-12-01T11:52:16.378Z,"""5""",5.0,23544.0,6794.0,1500.0,1050.0,378.7,300,283.6
16460.0,2024-12-01T11:53:26.897Z,"""CoinFlip""",6.0,34933.0,8037.0,7000.0,700.0,700,525,525
17042.0,2024-12-01T11:54:14.059Z,"""5""",5.0,23917.0,6911.0,1500.0,1260.0,450,311.96,189.08
17300.0,2024-12-01T11:55:37.623Z,"""Pachinko""",7.0,41201.0,8998.0,4000.0,800.0,741.13,600,600
17394.0,2024-12-01T11:56:17.163Z,"""5""",5.0,25785.0,7402.0,1500.0,1380.0,757.4,600,311.96
17442.0,2024-12-01T11:57:01.583Z,"""1""",1.0,6152.0,4142.0,178.87,155.87,145.33,100.99,100
17489.0,2024-12-01T11:57:44.309Z,"""5""",5.0,23656.0,6446.0,1500.0,1380.0,600,386.28,332.3
17489.0,2024-12-01T11:58:25.981Z,"""1""",1.0,6743.0,3966.0,950.0,428.57,100,81.32,79.12
17489.0,2024-12-01T11:59:49.240Z,"""1""",1.0,5168.0,4035.0,125.21,108.43,88.24,83.19,78.78
17489.0,2024-12-01T12:00:31.851Z,"""1""",1.0,4818.0,3513.0,262.47,130.0,121.84,103.95,83.19
17489.0,2024-12-01T12:01:11.665Z,"""1""",1.0,5248.0,3383.0,382.87,208.87,83.19,78.78,71.55
14823.0,2024-12-01T12:01:56.072Z,"""1""",1.0,4624.0,3253.0,382.87,130.78,83.19,78.78,72.24
14823.0,2024-12-01T12:02:38.663Z,"""2""",2.0,10154.0,3768.0,1059.43,600.0,269.64,181.41,163.48
14573.0,2024-12-01T12:03:20.753Z,"""2""",2.0,9536.0,4104.0,1059.43,245.22,145.13,118.17,118.17
13890.0,2024-12-01T12:04:04.661Z,"""1""",1.0,4193.0,2791.0,277.85,181.2,89.43,83.19,78.78
13887.0,2024-12-01T12:04:49.663Z,"""2""",2.0,8748.0,3545.0,1059.43,349.5,257.52,145.13,119.39
13934.0,2024-12-01T12:05:31.351Z,"""1""",1.0,3850.0,2706.0,100.0,94.53,83.19,78.78,74.88
13632.0,2024-12-01T12:07:02.312Z,"""Pachinko""",15.0,47508.0,5631.0,1566.34,1200.0,1009.87,718.82,577.92
14370.0,2024-12-01T12:07:43.391Z,"""1""",1.0,3887.0,2831.0,96.32,78.78,71.55,71.55,60.2
14370.0,2024-12-01T12:08:28.123Z,"""1""",3.0,8381.0,3035.0,203.31,192.64,189.06,157.56,143.09
14772.0,2024-12-01T12:09:06.611Z,"""5""",5.0,16515.0,4446.0,1200.0,600.0,425.42,421.58,216.72
14974.0,2024-12-01T12:10:41.983Z,"""CashHunt""",19.0,63954.0,6373.0,3825.0,1598.18,1076.86,983.13,820.52
15074.0,2024-12-01T12:11:23.453Z,"""2""",2.0,11374.0,4407.0,1050.0,604.7,454.5,450,182.21
15124.0,2024-12-01T12:12:03.006Z,"""10""",10.0,38930.0,5814.0,1100.0,1100.0,565.67,424.63,415.94
15175.0,2024-12-01T12:12:44.597Z,"""2""",2.0,11825.0,4762.0,865.93,600.0,450,376.78,349.5
15592.0,2024-12-01T12:13:25.690Z,"""2""",2.0,11151.0,4827.0,865.93,525.0,392.59,240,145.13
16116.0,2024-12-01T12:14:09.921Z,"""5""",5.0,19559.0,5669.0,600.0,600.0,526.97,313.85,283.49
15838.0,2024-12-01T12:15:42.747Z,"""CashHunt""",19.0,77333.0,7660.0,2600.0,2545.31,1307.97,1198.64,1040
16519.0,2024-12-01T12:16:23.712Z,"""1""",1.0,8379.0,3751.0,1070.75,1000.0,526.97,380.09,257.12
16519.0,2024-12-01T12:17:07.482Z,"""2""",2.0,12175.0,5112.0,865.93,658.71,600,375,349.5
16461.0,2024-12-01T12:17:48.333Z,"""1""",1.0,4478.0,3579.0,145.33,135.54,108.99,78.78,78.78
15872.0,2024-12-01T12:18:25.864Z,"""1""",2.0,5939.0,3349.0,151.26,141.8,118.17,115.58,97.26
15578.0,2024-12-01T12:19:07.269Z,"""2""",2.0,12563.0,4622.0,1349.69,1050.0,349.5,277.92,196.18
15283.0,2024-12-01T12:19:49.336Z,"""10""",10.0,34578.0,5239.0,779.94,675.9,649.95,553.37,550
15283.0,2024-12-01T12:22:31.449Z,"""CrazyBonus""",28.0,107327.0,7552.0,3420.84,2600.0,2545.31,1129.86,1020.95
15860.0,2024-12-01T12:23:24.800Z,"""2""",8.0,37987.0,4925.0,3600.0,3240.0,2452.66,1062,1048.5
16149.0,2024-12-01T12:24:05.243Z,"""1""",1.0,5882.0,4055.0,1000.0,163.48,112.42,89.43,80.63
16294.0,2024-12-01T12:24:47.569Z,"""2""",2.0,12635.0,5258.0,1200.0,817.55,813.22,349.5,225
16438.0,2024-12-01T12:25:29.424Z,"""2""",10.0,45727.0,5280.0,4400.0,3352.45,1773.78,1281.5,825
16438.0,2024-12-01T12:26:11.950Z,"""2""",2.0,10941.0,5685.0,914.31,349.5,225,167.69,167.69
16951.0,2024-12-01T12:27:17.790Z,"""CoinFlip""",20.0,74960.0,8281.0,2055.83,1878.11,1258.17,1001.31,945
17459.0,2024-12-01T12:27:56.710Z,"""10""",10.0,47678.0,6954.0,4400.0,2750.0,1049,745.46,614.86
17713.0,2024-12-01T12:28:35.335Z,"""1""",1.0,9962.0,4764.0,2000.0,1090.96,512,378.13,116.26
17967.0,2024-12-01T12:29:17.254Z,"""1""",3.0,15401.0,4516.0,4000.0,271.07,260,189.06,157.56
17967.0,2024-12-01T12:29:55.231Z,"""10""",10.0,41187.0,6624.0,2079.7,1049.0,745.46,579.67,519.93
18236.0,2024-12-01T12:30:37.460Z,"""1""",1.0,7430.0,4443.0,2000.0,141.8,135,78.78,62.6
18236.0,2024-12-01T12:32:03.742Z,"""5""",5.0,23320.0,7461.0,354.52,212.71,201.23,196.55,188.31
18236.0,2024-12-01T12:32:46.600Z,"""10""",10.0,40548.0,7192.0,3300.0,676.28,517.85,418,393.51
18102.0,2024-12-01T12:33:53.748Z,"""CoinFlip""",3.0,16460.0,9516.0,391.59,209.89,200,161.25,152.58
18034.0,2024-12-01T12:34:30.694Z,"""2""",2.0,19096.0,6440.0,3000.0,2100.0,1398.06,349.5,261.57
17967.0,2024-12-01T12:36:05.183Z,"""CashHunt""",19.0,75281.0,9315.0,1275.0,1205.28,1200,1076.86,853.89
18657.0,2024-12-01T12:36:45.031Z,"""1""",1.0,6443.0,4512.0,950.0,150.0,118.17,98.38,78.25
18657.0,2024-12-01T12:37:23.787Z,"""2""",2.0,14471.0,6591.0,1398.06,420.0,349.5,203.31,150.92
18511.0,2024-12-01T12:38:08.467Z,"""2""",2.0,14440.0,6255.0,1398.06,1023.38,420,349.5,177.26
18033.0,2024-12-01T12:38:51.818Z,"""10""",10.0,46792.0,7332.0,3300.0,1159.33,877.8,662.2,517.85
18185.0,2024-12-01T12:39:40.021Z,"""2""",2.0,14110.0,6013.0,1512.19,1398.06,240,202.49,145.13
18432.0,2024-12-01T12:40:24.996Z,"""1""",1.0,8418.0,4013.0,3000.0,200.0,129.68,118.17,101.65
18432.0,2024-12-01T12:43:37.249Z,"""CoinFlip""",15.0,74627.0,8494.0,15125.11,1200.0,1162.64,836.93,650.58
18656.0,2024-12-01T12:44:44.040Z,"""CoinFlip""",12.0,49055.0,8134.0,3686.75,906.13,871.41,650,528.6
19462.0,2024-12-01T12:46:19.411Z,"""CashHunt""",19.0,96416.0,9895.0,9642.26,5701.39,2835.96,2667.72,1205.28
19982.0,2024-12-01T12:46:57.011Z,"""1""",1.0,5211.0,4616.0,223.58,189.06,118.17,94.53,94.5
19956.0,2024-12-01T12:47:33.441Z,"""5""",5.0,32611.0,7371.0,5104.73,3000.0,2012.26,670.75,653.92
19942.0,2024-12-01T12:48:16.957Z,"""2""",6.0,40242.0,7153.0,3262.15,2646.89,1144.36,815.5,782.54
19929.0,2024-12-01T12:49:23.907Z,"""CoinFlip""",7.0,38304.0,9849.0,2268.77,1000.0,894.34,836.93,756.26
20188.0,2024-12-01T12:50:28.370Z,"""CoinFlip""",2.0,15615.0,10103.0,1134.38,850.79,390,335.38,300
20446.0,2024-12-01T12:51:16.461Z,"""1""",1.0,9601.0,4879.0,2000.0,1323.45,447.17,121.98,120.74
20446.0,2024-12-01T12:52:01.181Z,"""2""",2.0,21092.0,6766.0,4500.0,1398.06,1134.38,670.75,449.57
20446.0,2024-12-01T12:53:29.589Z,"""2""",2.0,15598.0,6273.0,1398.06,457.44,335.38,326.96,283.6
20446.0,2024-12-01T12:54:13.263Z,"""10""",10.0,45425.0,6992.0,1969.0,1198.85,1150.78,1039.85,724.58
20104.0,2024-12-01T12:55:00.589Z,"""2""",10.0,55387.0,5924.0,5126.24,3896.27,2236.37,1131.34,1039.85
19761.0,2024-12-01T12:55:40.650Z,"""5""",5.0,29343.0,7528.0,6000.0,1050.0,395.23,326.96,326.96
19761.0,2024-12-01T12:56:22.865Z,"""5""",5.0,24595.0,7303.0,1134.38,1050.0,813.22,567.19,503.06
19893.0,2024-12-01T12:57:04.098Z,"""1""",1.0,10956.0,4439.0,5000.0,677.69,140.53,116.26,94.53
19893.0,2024-12-01T12:57:46.781Z,"""1""",1.0,8132.0,4272.0,2000.0,316.47,158.09,133.93,111.79
19131.0,2024-12-01T12:58:27.213Z,"""1""",1.0,6028.0,4048.0,406.61,316.47,217.97,158.09,114.03
18286.0,2024-12-01T12:59:07.382Z,"""2""",2.0,18793.0,5544.0,6000.0,649.5,490.44,237.14,193.5
17832.0,2024-12-01T12:59:49.379Z,"""1""",1.0,4911.0,3661.0,158.09,108.99,94.53,84.96,84.37
17832.0,2024-12-01T13:00:36.005Z,"""5""",5.0,25654.0,5173.0,9000.0,579.67,330.88,326.96,283.6
17673.0,2024-12-01T13:01:20.905Z,"""1""",1.0,5515.0,3400.0,542.15,316.47,193.22,192.64,136.23
17673.0,2024-12-01T13:01:58.162Z,"""1""",1.0,4875.0,3250.0,217.97,202.01,200,101.65,94.53
17373.0,2024-12-01T13:02:39.298Z,"""1""",1.0,6873.0,3137.0,2000.0,210.79,203.31,196.95,108.99
17373.0,2024-12-01T13:04:05.374Z,"""1""",1.0,3838.0,2774.0,245.92,135.54,126.23,98.38,83.69
17373.0,2024-12-01T13:04:50.409Z,"""2""",2.0,10489.0,3702.0,1500.0,609.92,368.88,349.5,203.31
17373.0,2024-12-01T13:05:29.506Z,"""2""",2.0,10292.0,3811.0,613.05,609.92,494.49,395.23,254.13
15356.0,2024-12-01T13:06:10.137Z,"""1""",1.0,4321.0,2703.0,263.49,204.68,178.87,135.54,126.59
15202.0,2024-12-01T13:06:52.057Z,"""1""",1.0,4388.0,2806.0,316.18,272.47,126.05,120.74,80
15202.0,2024-12-01T13:07:35.399Z,"""5""",15.0,37478.0,3775.0,2529.46,1599.63,1089.87,945.38,756.26
15713.0,2024-12-01T13:09:16.437Z,"""CrazyBonus""",47.0,235244.0,6706.0,19515.46,19095.46,19095.46,5050,4773.86
16989.0,2024-12-01T13:10:00.903Z,"""2""",2.0,9861.0,4316.0,609.92,474.27,349.5,141.8,131.74
16664.0,2024-12-01T13:10:39.324Z,"""2""",2.0,11114.0,4942.0,694.79,609.92,240,197.61,163.48
16664.0,2024-12-01T13:11:20.734Z,"""2""",2.0,10071.0,4983.0,263.49,163.48,141.8,129.99,120
16609.0,2024-12-01T13:12:01.901Z,"""2""",4.0,17326.0,4950.0,544.93,272.47,225,200,197.8
16685.0,2024-12-01T13:12:41.357Z,"""2""",2.0,11004.0,4976.0,1016.53,204.35,163.48,131.74,120.74
16685.0,2024-12-01T13:13:29.689Z,"""1""",1.0,5913.0,3615.0,300.0,135.54,128.35,122.97,111.79
16685.0,2024-12-01T13:14:56.725Z,"""2""",2.0,9278.0,4551.0,349.5,236.34,204.35,203.31,163.48
