,8X in next 2 results,18X in next 6 results,28X in next 9 results,38X in next 12 results,48X in next 16 results,58X in next 19 results,68X in next 22 results,78X in next 26 results,88X in next 29 results,98X in next 32 results,108X in next 36 results,118X in next 39 results,128X in next 42 results,138X in next 46 results
"['""1""', '""2""', '""5""']",0.1523545706371191,0.11194029850746269,0.075,0.03571428571428571,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""10""']",0.31636726546906185,0.21323529411764705,0.13114754098360656,0.05128205128205128,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""5""', '""10""']",0.3161094224924012,0.16428571428571428,0.16363636363636364,0.034482758620689655,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""5""', '""10""']",0.3479923518164436,0.1927710843373494,0.14492753623188406,0.07692307692307693,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""CoinFlip""']",0.267515923566879,0.19801980198019803,0.10126582278481013,0.10294117647058823,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""5""', '""CoinFlip""']",0.3083197389885807,0.1941747572815534,0.0958904109589041,0.06896551724137931,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""5""', '""CoinFlip""']",0.28869047619047616,0.21551724137931033,0.12643678160919541,0.11764705882352941,0.09433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""10""', '""CoinFlip""']",0.3843700159489633,0.22596153846153846,0.14893617021276595,0.13043478260869565,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""10""', '""CoinFlip""']",0.3945163747143945,0.2606837606837607,0.14814814814814814,0.13924050632911392,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""5""', '""10""', '""CoinFlip""']",0.4083204930662558,0.25210084033613445,0.16666666666666666,0.10144927536231885,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""Pachinko""']",0.27606177606177607,0.19736842105263158,0.2,0.1780821917808219,0.14583333333333334,0.16,0.13636363636363635,0.1,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0
"['""1""', '""5""', '""Pachinko""']",0.27634194831013914,0.1939655172413793,0.20224719101123595,0.1746031746031746,0.13043478260869565,0.15384615384615385,0.13043478260869565,0.05,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""5""', '""Pachinko""']",0.302491103202847,0.2364341085271318,0.20388349514563106,0.1643835616438356,0.14583333333333334,0.18518518518518517,0.16666666666666666,0.09523809523809523,0.05,0.05,0.0,0.0,0.0,0.0
"['""1""', '""10""', '""Pachinko""']",0.38024475524475526,0.25213675213675213,0.23636363636363636,0.1891891891891892,0.16326530612244897,0.13333333333333333,0.07407407407407407,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""10""', '""Pachinko""']",0.40648379052369077,0.2692307692307692,0.24193548387096775,0.19047619047619047,0.19607843137254902,0.16129032258064516,0.10714285714285714,0.09090909090909091,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0
"['""5""', '""10""', '""Pachinko""']",0.4015151515151515,0.25757575757575757,0.23728813559322035,0.1891891891891892,0.16326530612244897,0.15625,0.10344827586206896,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""CoinFlip""', '""Pachinko""']",0.35974025974025975,0.27666666666666667,0.25,0.23300970873786409,0.20253164556962025,0.175,0.14285714285714285,0.09375,0.06896551724137931,0.03571428571428571,0.0,0.0,0.0,0.0
"['""2""', '""CoinFlip""', '""Pachinko""']",0.36429433051869725,0.30368098159509205,0.2676056338028169,0.24778761061946902,0.20987654320987653,0.1951219512195122,0.16666666666666666,0.12121212121212122,0.1,0.06896551724137931,0.0,0.0,0.0,0.0
"['""5""', '""CoinFlip""', '""Pachinko""']",0.3783783783783784,0.29393939393939394,0.23529411764705882,0.20388349514563106,0.16455696202531644,0.16666666666666666,0.13513513513513514,0.09090909090909091,0.06666666666666667,0.034482758620689655,0.0,0.0,0.0,0.0
"['""10""', '""CoinFlip""', '""Pachinko""']",0.4549828178694158,0.3192771084337349,0.27388535031847133,0.23684210526315788,0.23170731707317074,0.1956521739130435,0.14634146341463414,0.11764705882352941,0.0967741935483871,0.06666666666666667,0.0,0.0,0.0,0.0
"['""1""', '""2""', '""CashHunt""']",0.3148148148148148,0.30505050505050507,0.16176470588235295,0.171875,0.1590909090909091,0.11538461538461539,0.05263157894736842,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""5""', '""CashHunt""']",0.334913112164297,0.3066132264529058,0.20967741935483872,0.18518518518518517,0.14285714285714285,0.14814814814814814,0.1,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""5""', '""CashHunt""']",0.3511560693641618,0.33714285714285713,0.2236842105263158,0.203125,0.13636363636363635,0.17857142857142858,0.09523809523809523,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""10""', '""CashHunt""']",0.41130298273155413,0.3213572854291417,0.1927710843373494,0.15384615384615385,0.1111111111111111,0.0967741935483871,0.041666666666666664,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
