,8X in next 4 results,18X in next 9 results,28X in next 14 results,38X in next 19 results,48X in next 24 results,58X in next 29 results,68X in next 34 results,78X in next 39 results,88X in next 44 results,98X in next 49 results,108X in next 54 results,118X in next 59 results,128X in next 64 results,138X in next 69 results
"['""1""', '""2""']",0.19047619047619047,0.15384615384615385,0.07692307692307693,0.09090909090909091,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""5""']",0.18981481481481483,0.12195121951219512,0.05,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""5""']",0.2545454545454545,0.21296296296296297,0.17647058823529413,0.09090909090909091,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""10""']",0.3792298716452742,0.25,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""10""']",0.4268558951965066,0.24545454545454545,0.16363636363636364,0.15151515151515152,0.11764705882352941,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""5""', '""10""']",0.4361820199778024,0.20175438596491227,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['""1""', '""CoinFlip""']",0.3416149068322981,0.23333333333333334,0.11864406779661017,0.09615384615384616,0.08888888888888889,0.0625,0.07142857142857142,0.07692307692307693,0.09090909090909091,0.1,0.0,0.0,0.0,0.0
"['""2""', '""CoinFlip""']",0.35793357933579334,0.2727272727272727,0.1643835616438356,0.16129032258064516,0.14893617021276595,0.11764705882352941,0.13333333333333333,0.14285714285714285,0.16666666666666666,0.18181818181818182,0.0,0.0,0.0,0.0
"['""5""', '""CoinFlip""']",0.3738140417457306,0.24444444444444444,0.1044776119402985,0.057692307692307696,0.044444444444444446,0.05555555555555555,0.0625,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
"['""10""', '""CoinFlip""']",0.4931506849315068,0.29120879120879123,0.19318181818181818,0.12698412698412698,0.125,0.045454545454545456,0.05,0.06666666666666667,0.07692307692307693,0.08333333333333333,0.0,0.0,0.0,0.0
"['""1""', '""Pachinko""']",0.2949061662198391,0.24431818181818182,0.2,0.17543859649122806,0.125,0.125,0.09523809523809523,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""Pachinko""']",0.3449074074074074,0.3069306930693069,0.23595505617977527,0.19402985074626866,0.16666666666666666,0.16,0.13636363636363635,0.1,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0
"['""5""', '""Pachinko""']",0.3333333333333333,0.25728155339805825,0.21686746987951808,0.14035087719298245,0.1,0.15384615384615385,0.13043478260869565,0.1,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0
"['""10""', '""Pachinko""']",0.47448015122873344,0.34134615384615385,0.27884615384615385,0.20588235294117646,0.18604651162790697,0.16666666666666666,0.1111111111111111,0.09523809523809523,0.05,0.05,0.0,0.0,0.0,0.0
"['""CoinFlip""', '""Pachinko""']",0.4166666666666667,0.34306569343065696,0.29508196721311475,0.25773195876288657,0.2328767123287671,0.25,0.22857142857142856,0.1875,0.1724137931034483,0.14285714285714285,0.0,0.0,0.0,0.0
"['""1""', '""CashHunt""']",0.3797216699801193,0.36343115124153497,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.12,0.05555555555555555,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""CashHunt""']",0.42526690391459077,0.39872068230277186,0.25806451612903225,0.27586206896551724,0.21052631578947367,0.19230769230769232,0.05263157894736842,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
"['""5""', '""CashHunt""']",0.4259597806215722,0.41226215644820297,0.23214285714285715,0.20833333333333334,0.16666666666666666,0.2222222222222222,0.2,0.1875,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
"['""10""', '""CashHunt""']",0.531986531986532,0.4378947368421053,0.2857142857142857,0.2542372881355932,0.23076923076923078,0.25806451612903225,0.20833333333333334,0.17647058823529413,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
"['""CoinFlip""', '""CashHunt""']",0.5012285012285013,0.4731977818853974,0.25263157894736843,0.25,0.21739130434782608,0.1951219512195122,0.125,0.14285714285714285,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
"['""Pachinko""', '""CashHunt""']",0.5,0.47795414462081126,0.36036036036036034,0.3548387096774194,0.296875,0.3469387755102041,0.3076923076923077,0.29411764705882354,0.25806451612903225,0.2,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.1111111111111111
"['""1""', '""CrazyBonus""']",0.325,0.3,0.26,0.2247191011235955,0.20754716981132076,0.17857142857142858,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"['""2""', '""CrazyBonus""']",0.36578171091445427,0.3305084745762712,0.29878048780487804,0.2727272727272727,0.2,0.20689655172413793,0.2,0.14285714285714285,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
"['""5""', '""CrazyBonus""']",0.4012345679012346,0.38333333333333336,0.2974683544303797,0.24719101123595505,0.20754716981132076,0.16666666666666666,0.15384615384615385,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0
"['""10""', '""CrazyBonus""']",0.47253886010362695,0.4090909090909091,0.35195530726256985,0.3,0.23214285714285715,0.23529411764705882,0.2,0.09090909090909091,0.0625,0.0,0.0,0.0,0.0,0.0
"['""CoinFlip""', '""CrazyBonus""']",0.4602368866328257,0.4253246753246753,0.3401015228426396,0.3178294573643411,0.313953488372093,0.3409090909090909,0.39473684210526316,0.36363636363636365,0.32,0.3,0.0,0.0,0.0,0.0
"['""Pachinko""', '""CrazyBonus""']",0.4074844074844075,0.39820359281437123,0.3568075117370892,0.3358208955223881,0.32098765432098764,0.34615384615384615,0.3333333333333333,0.2564102564102564,0.21875,0.14285714285714285,0.0625,0.06666666666666667,0.08333333333333333,0.08333333333333333
